CLASH (BOWMAN GRAY)  , FEB 1 , 8 PM 
DUELS (DAYTONA)  , FEB 12 , 7 PM 
DAYTONA 500  , FEB 15 , 2:30 PM 
ECHOPARK (ATLANTA)  , FEB 22 , 3 PM 
COTA (AUSTIN)  , MAR 1 , 3:30 PM 
PHOENIX  , MAR 8 , 3:30 PM 
LAS VEGAS  , MAR 15 , 4 PM 
DARLINGTON  , MAR 22 , 3 PM 
MARTINSVILLE  , MAR 29 , 3:30 PM 
OFF WEEK  , APR 5,
BRISTOL  , APR 12 , 3 PM 
KANSAS  , APR 19 , 2 PM 
TALLADEGA  , APR 26 , 3 PM 
TEXAS  , MAY 3 , 3:30 PM 
WATKINS GLEN  , MAY 10 , 3 PM 
ALL-STAR DOVER  , MAY 17 , 3 PM 
CHARLOTTE  , MAY 24 , 6 PM 
NASHVILLE  , MAY 31 , 7 PM 
MICHIGAN  , JUN 7 , 3 PM 
POCONO  , JUN 14 , 3 PM 
SAN DIEGO  , JUN 21 , 4 PM 
SONOMA  , JUN 28 , 3:30 PM 
CHICAGOLAND  , JUL 5 , 6 PM 
ECHOPARK (ATLANTA)  , JUL 12 , 7 PM 
NORTH WILKESBORO  , JUL 19 , 7 PM 
INDIANAPOLIS  , JUL 26 , 2 PM 
NO RACE - OFF WEEK, AUG 2,
IOWA  , AUG 9 , 3:30 PM 
RICHMOND  , AUG 15 , 7 PM 
NEW HAMPSHIRE  , AUG 23 , 3 PM 
DAYTONA  ,29-Aug, 7:30 PM 
DARLINGTON  , SEP 6 , 5 PM 
WWTR (ST. LOUIS)  , SEP 13 , 3 PM 
BRISTOL  ,19-Sep, 7:30 PM 
KANSAS  , SEP 27 , 3 PM 
LAS VEGAS  , OCT 4 , 5:30 PM 
CHARLOTTE  , OCT 11 , 3 PM 
PHOENIX  , OCT 18 , 3 PM 
TALLADEGA  , OCT 25 , 2 PM 
MARTINSVILLE  , NOV 1 , 2 PM 
HOMESTEAD-MIAMI  , NOV 8 , 3 PM 
