driver_id,driver_name,number,team,manufacturer
ross-chastain,Ross Chastain,1,Trackhouse Racing Team,Chevrolet
austin-cindric,Austin Cindric,2,Team Penske,Ford
austin-dillon,Austin Dillon,3,Richard Childress Racing,Chevrolet
noah-gragson,Noah Gragson,4,Front Row Motorsports,Ford
kyle-larson,Kyle Larson,5,Hendrick Motorsports,Chevrolet
daniel-suarez,Daniel Suárez,7,Spire Motorsports,Chevrolet
kyle-busch,Kyle Busch,8,Richard Childress Racing,Chevrolet
chase-elliott,Chase Elliott,9,Hendrick Motorsports,Chevrolet
ty-dillon,Ty Dillon,10,Kaulig Racing,Chevrolet
denny-hamlin,Denny Hamlin,11,Joe Gibbs Racing,Toyota
ryan-blaney,Ryan Blaney,12,Team Penske,Ford
aj-allmendinger,A.J. Allmendinger,16,Kaulig Racing,Chevrolet
chris-buescher,Chris Buescher,17,Roush Fenway Keselowski Racing,Ford
christopher-bell,Christopher Bell,20,Joe Gibbs Racing,Toyota
joey-logano,Joey Logano,22,Team Penske,Ford
bubba-wallace,Bubba Wallace,23,23XI Racing,Toyota
william-byron,William Byron,24,Hendrick Motorsports,Chevrolet
austin-hill,Austin Hill,33,Richard Childress Racing,Chevrolet
michael-mcdowell,Michael McDowell,71,Spire Motorsports,Chevrolet
carson-hocevar,Carson Hocevar,77,Spire Motorsports,Chevrolet
erik-jones,Erik Jones,43,Legacy Motor Club,Toyota
ricky-stenhouse-jr,Ricky Stenhouse Jr.,47,Hyak Motorsports,Chevrolet
alex-bowman,Alex Bowman,48,Hendrick Motorsports,Chevrolet
cody-ware,Cody Ware,51,Rick Ware Racing,Chevrolet
cole-custer,Cole Custer,41,Haas Factory Team,Chevrolet
connor-zilisch,Connor Zilisch,88,Trackhouse Racing,Chevrolet
